playerShort,player,club,leagueCountry,birthday,height,weight,position,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,rater1,rater2,refCount,refCountryCount,meanIAT,seIAT,meanExp,seExp,color_rating,meanIAT_nIAT,meanExp_nExp,meanIAT_GameNbr,meanExp_GameNbr
872,1024,51,1,1084,184.0,76.0,5,32,12,4,16,0,1,0,0,0.25,0.25,24,2,0.3368293261042319,0.000150884729853696,0.3441723939807921,0.0005859663580006839,2,0.3360164228404533,0.34126047113060093,0.33629296853926316,0.3421545362693869
873,1025,82,0,938,178.0,76.0,4,256,85,70,101,9,76,3,4,0.0,0.25,45,12,0.33673132073615625,0.000150884729853696,0.40532721048521,0.0005859663580006839,1,0.3274624082120064,0.3602434106812325,0.32866672112668965,0.36470549501632926
874,1026,27,0,499,170.0,74.0,7,460,205,118,137,34,52,1,0,0.25,0.25,100,27,0.3396489473534362,0.000219256366263838,0.43406913227325417,0.000822971285640673,2,0.32730143013018564,0.35954588544653315,0.32937990633311803,0.3731715557196405
875,1027,70,3,903,188.0,79.0,5,446,184,111,151,0,29,0,4,0.0,0.0,130,21,0.36373050594646916,0.0032968095236196103,0.5210123708881585,0.013752210497518,1,0.3427779243347328,0.43698864588917785,0.36775043237338495,0.5587046894068246
876,1028,39,2,1040,188.0,81.0,4,172,84,31,57,22,33,3,2,0.0,0.25,77,21,0.34191209974969117,9.638668990978081e-06,0.41569762585087655,3.6880224734070796e-05,1,0.33110665605492196,0.3583464716714852,0.3388026349169398,0.37578499712585345
877,1029,33,2,1273,190.0,81.0,1,154,52,39,63,10,33,0,1,0.25,0.5,92,2,0.3370636411336596,5.45402511307639e-05,0.33810276892277047,0.000225061636579017,2,0.336644632389136,0.33605026296866697,0.3368883186243203,0.3372428705825554
878,1030,54,0,1365,186.0,71.0,1,256,95,60,101,13,37,3,2,1.0,1.0,92,6,0.32766432993733824,9.638668990978081e-06,0.3658230233185195,3.6880224734070796e-05,5,0.3267312986470938,0.35650837898095306,0.3270399472086637,0.3598155873416937
879,1031,27,0,762,172.0,68.0,11,406,184,101,121,56,42,0,0,0.0,0.0,70,19,0.3369829613277613,0.000219256366263838,0.4301314072501531,0.000822971285640673,1,0.32725081440444953,0.36031328212471886,0.3284643867613858,0.3691500183105977
880,1032,16,2,886,171.0,60.0,6,118,45,26,47,21,30,0,1,0.0,0.25,73,13,0.3394735544494332,0.000219256366263838,0.38267951605169076,0.000822971285640673,1,0.336430950766028,0.34756756356747476,0.3383961688491081,0.3653583655214056
881,1033,91,2,514,169.0,67.0,0,45,26,6,13,11,4,0,0,0.25,0.25,40,9,0.34302890905052286,5.45402511307639e-05,0.3804102683212084,0.000225061636579017,2,0.33610073678911034,0.34819561015647754,0.3427316260434145,0.38371499675941506
882,1034,31,2,833,176.0,72.0,0,253,125,52,76,54,25,0,0,0.0,0.0,107,32,0.34715035850768194,0.00361458209483825,0.4534685505639817,0.0210609399561913,1,0.33186481589589195,0.36281322295152507,0.34169803636320084,0.4005972609016514
883,1035,58,1,871,188.0,84.0,6,63,23,14,26,2,18,1,3,1.0,1.0,40,5,0.33667203902983955,0.000150884729853696,0.3673607690825137,0.0005859663580006839,5,0.3351012625618705,0.34178871472788463,0.3359462089779967,0.3559484589747537
884,1036,92,0,955,177.0,64.0,1,345,115,105,125,20,58,0,2,0.0,0.0,60,5,0.3273344657536127,9.638668990978081e-06,0.36566210004249017,3.6880224734070796e-05,1,0.3267870124520252,0.35717442902467955,0.32680181973140043,0.35804843841386585
885,1037,68,3,192,188.0,81.0,1,44,11,16,17,0,15,0,0,0.5,0.25,29,6,0.3475982095373459,0.00022948964086646402,0.5648510839626063,0.00100164730649311,3,0.36992321368397496,0.5910293051230644,0.35519890884978655,0.5728441160928123
886,1038,78,1,328,182.0,74.0,5,45,14,15,16,0,1,0,2,0.25,0.25,29,2,0.334356353026276,0.000150884729853696,0.343078914008494,0.0005859663580006839,2,0.33466897014005287,0.336412515691987,0.334472812694927,0.3405978648090904
887,1039,29,3,1090,169.0,67.0,12,497,337,96,64,386,40,0,1,0.0,0.0,117,43,0.3565856715808038,0.0032968095236196103,0.5495094276584065,0.013752210497518,1,0.33033046339252015,0.4553981460951688,0.3633661350917501,0.5636675384190092
888,1040,57,1,60,175.0,72.0,2,324,172,79,73,152,33,0,1,0.0,0.25,102,26,0.36039078612081876,0.0032968095236196103,0.5432114418224898,0.013752210497518,2,0.32979800096584083,0.453120845055351,0.3618719024356699,0.5352042327058167
